scenario,time_step,total_prod,scaling,cap
RUS,0,15999999999.999998,0.1431573819033784,16000000000.0
RUS,1,16176000000.0,0.1438602583833679,16175999999.999998
RUS,2,16353935999.999998,0.1471338171478051,16353935999.999998
RUS,3,16533829295.999992,0.1503829871248682,16533829295.999992
RUS,4,16715701418.25599,0.153815808651372,16715701418.255993
RUS,5,16899574133.856808,0.1571536824275358,16899574133.856806
RUS,6,17085469449.32923,0.1604260189595572,17085469449.329231
RUS,7,17273409613.27185,0.1635950697996646,17273409613.27185
RUS,8,17463417119.01784,0.1667203904673663,17463417119.01784
RUS,9,17655514707.327034,0.1697641976443632,17655514707.327034
HOA,0,16000000000.000002,0.1430981838039137,16000000000.0
HOA,1,16175999999.999996,0.1429691026159282,16175999999.999998
HOA,2,16353935999.999998,0.1455062323138219,16353935999.999998
HOA,3,16533829295.999994,0.1481661194334844,16533829295.999992
HOA,4,16715701418.255993,0.1513503108881455,16715701418.255993
HOA,5,16899574133.856806,0.1544728302008791,16899574133.856806
HOA,6,17085469449.329227,0.1575635868158961,17085469449.329231
HOA,7,17273409613.271847,0.160549149018464,17273409613.27185
HOA,8,17463417119.01784,0.1634428135974249,17463417119.01784
HOA,9,17655514707.327034,0.1661100701568647,17655514707.327034
ALL,0,16000000000.000002,0.1431746387064473,16000000000.0
ALL,1,16175999999.999996,0.1439264148877071,16175999999.999998
ALL,2,16353936000.0,0.1472124353061275,16353935999.999998
ALL,3,16533829295.999992,0.1505263003096547,16533829295.999992
ALL,4,16715701418.255993,0.1539466210216935,16715701418.255993
ALL,5,16899574133.856804,0.1571459411796634,16899574133.856806
ALL,6,17085469449.329231,0.1597135783967843,17085469449.329231
ALL,7,17273409613.27185,0.1596908742433676,17273409613.27185
ALL,8,17463417119.017845,0.1490680932465185,17463417119.01784
ALL,9,17655514707.327034,0.1087545211879508,17655514707.327034
URU,0,16000000000.0,0.1430900946512056,16000000000.0
URU,1,16175999999.999996,0.142958370984085,16175999999.999998
URU,2,16353936000.000002,0.1455116590947601,16353935999.999998
URU,3,16533829295.999992,0.1482188326901669,16533829295.999992
URU,4,16715701418.255997,0.1513958644663131,16715701418.255993
URU,5,16899574133.856812,0.1543923051068915,16899574133.856806
URU,6,17085469449.329231,0.1568479826299079,17085469449.329231
URU,7,17273409613.271847,0.1568365236469542,17273409613.27185
URU,8,17463417119.01784,0.1466663566571731,17463417119.01784
URU,9,17655514707.327034,0.1075800240558728,17655514707.327034
PAK,0,16000000000.0,0.1430919989781225,16000000000.0
PAK,1,16175999999.999996,0.14299683825734513,16175999999.999998
PAK,2,16353935999.999998,0.14553554155807685,16353935999.999998
PAK,3,16533829295.999989,0.1482270061793527,16533829295.999992
PAK,4,16715701418.255993,0.15141402747666807,16715701418.255993
PAK,5,16899574133.856808,0.15456409920561617,16899574133.856806
PAK,6,17085469449.329233,0.15767314738369423,17085469449.329231
PAK,7,17273409613.27185,0.16072181319723275,17273409613.27185
PAK,8,17463417119.01784,0.1637244900648089,17463417119.01784
PAK,9,17655514707.327034,0.16668078159980845,17655514707.327034
